#Frame,Dis_00001
1,2.2058
2,2.0859
3,2.3043
4,2.1522
5,2.1623
6,2.1370
7,2.1325
8,2.1715
9,2.1572
10,2.3295
11,2.3461
12,2.2193
13,2.2275
14,2.2978
15,2.2555
16,2.3531
17,2.3430
18,2.2507
19,2.1550
20,2.3314
21,2.1902
22,2.1389
23,2.2303
24,2.1731
25,2.1620
26,2.1854
27,2.2882
28,2.1370
29,2.2018
30,2.0403
31,2.2848
32,2.2171
33,2.3411
34,2.1515
35,2.1677
36,2.1803
37,2.2317
38,2.1053
39,2.1105
40,2.2626
41,2.2394
42,2.1624
43,2.3584
44,2.1956
45,2.3058
46,2.2547
47,2.3506
48,2.2917
49,2.4767
50,2.2785
51,2.1574
52,2.1344
53,2.1756
54,2.1186
55,2.2691
56,2.3058
57,2.1365
58,2.2803
59,2.0815
60,2.1667
61,2.2148
62,2.1535
63,2.2936
64,2.0812
65,2.1770
66,2.1364
67,2.1581
68,2.2243
69,2.2918
70,2.1711
71,2.0963
72,2.1049
73,2.1140
74,2.2118
75,2.1493
76,2.1339
77,2.2542
78,2.1077
79,2.1677
80,2.2473
81,2.2188
82,2.1270
83,2.2892
84,2.3950
85,2.2490
86,2.2659
87,2.3031
88,2.3300
89,2.2010
90,2.1350
91,2.2414
92,2.1149
93,2.2025
94,2.1783
95,2.2172
96,2.1306
97,2.2996
98,2.3689
99,2.2215
100,2.3107
