#Frame      Dis_00001
       1       2.0772
       2       1.9582
       3       2.0598
       4       2.1152
       5       2.0649
       6       2.0582
       7       2.0963
       8       2.0131
       9       2.1302
      10       2.0997
      11       2.0754
      12       2.0254
      13       2.0851
      14       1.9959
      15       1.9981
      16       2.1105
      17       2.0592
      18       2.1749
      19       2.1018
      20       2.0820
      21       2.0305
      22       2.0152
      23       2.0997
      24       2.0271
      25       2.1246
      26       2.0291
      27       2.0559
      28       2.1085
      29       1.9927
      30       2.0770
